,title,author,image,description
209,Peace Is Every Step: The Path of Mindfulness in Everyday Life,Thich Nhat Hahn,http://images.amazon.com/images/P/0553351397.01.MZZZZZZZ.jpg,A Zen master shows how to make positive use of situations that usually antagonize.
210,Pearl,John Steinbeck,http://images.amazon.com/images/P/0553278215.01.MZZZZZZZ.jpg,The story of a simple pearl fisherman and his family and how their lives are forever altered by the discovery of a giant pearl.
211,The Water Is Wide,PAT CONROY,http://images.amazon.com/images/P/0553268937.01.MZZZZZZZ.jpg,"""Pat Conroy spent a year teaching black children on an impoverished island off the South Carolina coast.""--Jacket."
212,At Risk,Alice Hoffman,http://images.amazon.com/images/P/0425117383.01.MZZZZZZZ.jpg,An ordinary American family must come to terms with the fact that their eleven-year-old daughter has AIDs.
213,The Music of the Spheres,Elizabeth Redfern,http://images.amazon.com/images/P/051513239X.01.MZZZZZZZ.jpg,"In eighteenth-century London, a killer walks the teeming streets. His victims are always prostiutes. Always young. Always with red hair. Before they die, they hear whispers that speak of stars. Of a woman named Selene. And then they feel the cord around their necks. Always ..."
214,Gathering Blue (Readers Circle),LOIS LOWRY,http://images.amazon.com/images/P/0440229499.01.MZZZZZZZ.jpg,"Lois Lowry's Gathering Blue continues the quartet beginning with the quintessential dystopian novel, The Giver, followed by Messenger and Son. Kira, an orphan with a twisted leg, lives in a world where the weak are cast aside. She fears for her future until she is spared by the all-powerful Council of Guardians. Kira is a gifted weaver and is given a task that no other community member can do. While her talent keeps her alive and brings certain privileges, Kira soon realizes she is surrounded by many mysteries and secrets. No one must know of her plans to uncover the truth about her world and see what places exist beyond."
215,Alive : The Story of the Andes Survivors (Avon Nonfiction),Piers Paul Read,http://images.amazon.com/images/P/038000321X.01.MZZZZZZZ.jpg,"On October 12, 1972, a plane carrying a team of young rugby players crashed into the remote, snow-peaked Andes. Out of the forty-five original passengers and crew, only sixteen made it off the mountain alive. For ten excruciating weeks they suffered deprivations beyond imagining, confronting nature head-on at its most furious and inhospitable. And to survive, they were forced to do what would have once been unthinkable ... This is their story -- one of the most astonishing true adventures of the twentieth century."
216,Message from Nam,Danielle Steel,http://images.amazon.com/images/P/0440209412.01.MZZZZZZZ.jpg,"As a journalist, Paxton Andrews would experience Vietnam firsthand. We follow her from high school in Savannah to college in Berkeley and then to work in Saigon. For the soldiers she knew and met there, Viet Nam would change their lives in ways they could never have imagined. For the men in her life, Viet Nam would change their lives in ways hey could not escape or deny. Peter Wilson, fresh from law school, was a new recruit who would confont his fate in Da Nang. Ralph Johnson, a seasoned AP correspondent, had been in Saigon since the beginning. He knew Vietnam and the war inside out. Bill Quinn, captain of the Cu Chi tunnel rats, was on his fourth tour of duty and it seemed nothing could touch him. Sergeant Tony Campobello had come to Vietnam from the streets of New York to vent a rage that had followed him all the way to Saigon. For seven years Paxton Andrews would write an acclaimed newspaper column from the front before finally returning to the States and then attending the Paris peace talks. But for her and the men who fought in Viet Nam, life would never be the same again."
217,High Society,Ben Elton,http://images.amazon.com/images/P/0552999954.01.MZZZZZZZ.jpg,"The war on drugs has been lost. The simple fact is that the whole world is rapidly becoming one vast criminal network. From pop stars and royal princes to crack whores and street kids, from the Groucho Club toilets to the poppy fields of Afghanistan, we are all partners in crime. High Society is a story about Britain today, a criminal nation in which everybody is either breaking the law or knows people who do. It takes the reader on a hilarious, heartbreaking and terrifying journey through the kaleidoscope world that the law has created and from which the law offers no protection."
218,Je Voudrais Que Quelqu'un M'Attende Quelque Part,Anna Gavalda,http://images.amazon.com/images/P/2290311782.01.MZZZZZZZ.jpg,Toute la petite foule des personnages de l'auteur babille et s'affaire selon sa tragédie quotidienne.
219,Die falsche FÃ?Â¤hrte.,Henning Mankell,http://images.amazon.com/images/P/3423204206.01.MZZZZZZZ.jpg,"Kommissar Kurt Wallander von der Kriminalpolizei im schwedischen Ystad sucht einen Serienmörder, der, als Indianer verkleidet, mit einer Axt seine Opfer erschlägt und sie anschliessend skalpiert."
220,Archangel,Robert Harris,http://images.amazon.com/images/P/0515127485.01.MZZZZZZZ.jpg,"Fluke Kelso was once a scholar of promise, but like so many in the highly competitive world of academia, he's never delivered. But one night, at a symposium in Moscow concerning the release of secret Soviet archives, he is approached by Papu Rapava, a former Kremlin bodyguard with a story to tell. No one but the desperate Kelso would believe the tale, for what Rapava describes is a sort of Holy Grail among researchers: an actual diary left by Joseph Stalin himself. Such an artifact, if it's genuine -- and if Kelso can survive the fascist Vladimir Mamantov, who wants it for his own agenda -- would be the coup of a lifetime for the discredited researcher. Before Kelso can learn the location of the diary, Rapava disappears, and Kelso's search for the former bodyguard leads him to the man's daughter, a whore selling herself in the new Moscow of drugs, corruption, and the Russian mafia. With an unscrupulous American journalist hot on their heels, a major of the new KGB close behind, and the shadowy Mamantov following them all, the two follow a trail that leads from Moscow's seedy underbelly to the industrial city of Archangel, where Russia once built her fleets of submarines, to a remote camp on the edge of the Siberian nothingness, and finally to a shocking conclusion that bites like the wind blowing off the tundra. What Kelso sees as the coup of his career might turn out to be the catalyst for an actual coup in Russia. There is a legacy behind the diary, a legacy of evil and death, and Fluke Kelso is unwittingly about to unleash it on the world."
221,The Inn at Lake Devine,Elinor Lipman,http://images.amazon.com/images/P/037570485X.01.MZZZZZZZ.jpg,"This ""tale of delicious revenge"" (USA Today) is also ""a punchy little comedy of manners.... Think Jane Austen in the Catskills"" (Chicago Tribune). It's 1962 and all across America barriers are collapsing. But when Natalie Marx's mother inquires about summer accommodations in Vermont, she gets the following reply: The Inn at Lake Devine is a family-owned resort, which has been in continuous operation since 1922. Our guests who feel most comfortable here, and return year after year, are Gentiles. For twelve-year-old Natalie, who has a stubborn sense of justice, the words are not a rebuff but an infuriating, irresistible challenge. In this beguiling novel, Elinor Lipman charts her heroine's fixation with a small bastion of genteel anti-Semitism, a fixation that will have wildly unexpected consequences on her romantic life. As Natalie tries to enter the world that has excluded her—and succeeds through the sheerest of accidents—The Inn at Lake Devine becomes a delightful and provocative romantic comedy full of sparkling social mischief."
222,"My Sister's Keeper : A Novel (Picoult, Jodi)",Jodi Picoult,http://images.amazon.com/images/P/0743454529.01.MZZZZZZZ.jpg,"Written with grace, wisdom, and sensitivity, this novel is about a teen who was conceived as a bone marrow match for her sister Kate, and what happens when she begins to question who she really is."
223,My Sergei: A Love Story,Ekaterina Gordeeva,http://images.amazon.com/images/P/044652087X.01.MZZZZZZZ.jpg,"The Olympic gold medalist offers a poignant, loving account of her life with her long-time partner and beloved husband, Sergei Grinkov, from their first introduction and successive world pairs skating championships, to their storybook romance and marriage, to the fatal heart attack that took Sergei's life."
224,The Hangman's Beautiful Daughter,Sharyn McCrumb,http://images.amazon.com/images/P/0451403703.01.MZZZZZZZ.jpg,"Four members of the Underhill family lay dead on a run-down farm, and the two children who survived had no one left."
225,Girls' Poker Night,Jill A. Davis,http://images.amazon.com/images/P/0375505148.01.MZZZZZZZ.jpg,"After landing a job as a reporter at the ""New York News,"" Ruby Capote joins three other women for evenings playing poker and finds herself falling for her intriguing and challenging boss, Michael."
226,Season of the Machete,James Patterson,http://images.amazon.com/images/P/0446600474.01.MZZZZZZZ.jpg,"Forsaking his life of leisure, Peter Macdonald prepares for a confrontation on a vacation island with psychopathic killers-for-hire Damian and Carrie Rose"
227,About a Boy Uk,Nick Hornby,http://images.amazon.com/images/P/0575400951.01.MZZZZZZZ.jpg,"Will doesn't want children and can't see why everyone keeps recommending them. But he does see the point of single mothers, especially if they look like Julie Christie. Which is how he gets involved in a single parents' group and invents a two year old son whose absence needs constant explanations."
228,Green Eggs and Ham (I Can Read It All by Myself Beginner Books),Dr. Seuss,http://images.amazon.com/images/P/0394800168.01.MZZZZZZZ.jpg,"Join in the fun with Sam-I-Am in this iconic classic by Dr. Seuss that will have readers of all ages craving Green Eggs and Ham! This is a beloved classic from the bestselling author of Horton Hears a Who!, The Lorax, and Oh, the Places You’ll Go! I do not like green eggs and ham. I do not like them, Sam-I-am. With unmistakable characters and signature rhymes, Dr. Seuss’s beloved favorite has cemented its place as a children’s classic. Kids will love the terrific tongue-twisters as the list of places to enjoy green eggs and ham gets longer and longer...and they might even learn a thing or two about trying new things! And don’t miss the Netflix series adaptation! Beginner Books are fun, funny, and easy to read. Originally created by Dr. Seuss himself, these unjacketed hardcover early readers encourage children to read all on their own, using simple words and illustrations. Smaller than the classic large format Seuss picture books like How the Grinch Stole Christmas! and Happy Birthday to You!, these portable packages are perfect for practicing readers ages 3-7, and lucky parents too!"
229,Sullivan's Woman (Silhouette Single Title),Nora Roberts,http://images.amazon.com/images/P/0373218966.01.MZZZZZZZ.jpg,"Sullivan's Woman by Nora Roberts released on Jul 25, 2003 is available now for purchase."
230,Masquerade,Gayle Lynds,http://images.amazon.com/images/P/042516019X.01.MZZZZZZZ.jpg,"A woman has lost her memory. She may be a CIA agent gone bad--or an innocent target. But in a world of mirrors, it's almost impossible to see the truth--and even harder to escape it. Move over, Ian Fleming . . . an engrossing story of international intrigue with (at last) a female heroine who can hold her own.--New Woman."
231,Stone Kiss (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),Faye Kellerman,http://images.amazon.com/images/P/0446530387.01.MZZZZZZZ.jpg,"Rina Lazarus has some shocking news for her husband, LAPD Lieutenant Peter Decker. A horrible murder has occurred in the family of his half-brother, Rabbi Jonathan Levin. The rabbi's brother-in-law was found slain in a seedy hotel room in upper Manhattan, and the victim's 15-year-old niece, with whom he was spending the day, is missing. Decker, with Rina at his side, immediately heads out to New York to assist in the investigation. But what starts out as simple inquiries soon evolves into a twisted and perilous journey -- from the darkened slums of New Jersey and the deserted industrial streets of New York to the recesses of sexual perversity and the hidden meeting places of Hasidic outcasts. Thrust into a deadly maze of deceit, lies, and danger, the couple can no longer trust anyone -- friend or family. And when salvation is finally within Decker's grasp, it can only be delivered by a depraved lone wolf, hell-bent on his own personal vengeance."
232,Savage Thunder,Johanna Lindsey,http://images.amazon.com/images/P/0380753006.01.MZZZZZZZ.jpg,"Newly widowed after a shockingly brief marriage to an elderly British lord, Jocelyn Fleming still aches with the pain of unexplored desire. And now her restless heart is leading her far from the protective bosom of polite London society to the perilous beauty of the American West . . .and to Colt Thunder. Breathlessly exciting but dangerously unpredictable, Colt is a loner whose Cheyenne blood burns hotter than the blistering Arizona sun. Jocelyn's wealth and title mean nothing to this strange whose passion rules his actions and his heart. But neither the wild desert stallion nor the untouched English rose can deny their irresistible attraction. . .or prevent the firestorm of emotion that erupts when their vastly different worlds collide."
233,"To Sir Phillip, With Love",Julia Quinn,http://images.amazon.com/images/P/0380820854.01.MZZZZZZZ.jpg,"Sir Phillip knew that Eloise Bridgerton was a spinster, and so he'd proposed, figuring that she'd be homely and unassuming, and more than a little desperate for an offer of marriage. Except . . . she wasn't. The beautiful woman on his doorstep was anything but quiet, and when she stopped talking long enough to close her mouth, all he wanted to do was kiss her . . . and more. Did he think she was mad? Eloise Bridgerton couldn't marry a man she had never met! But then she started thinking . . . and wondering . . . and before she knew it, she was in a hired carriage in the middle of the night, on her way to meet the man she hoped might be her perfect match. Except . . . he wasn't. Her perfect husband wouldn't be so moody and ill-mannered, and while Phillip was certainly handsome, he was a large brute of a man, rough and rugged, and totally unlike the London gentlemen vying for her hand. But when he smiled . . . and when he kissed her . . . the rest of the world simply fell away, and she couldn't help but wonder . . . could this imperfect man be perfect for her?"
234,A 4th Course of Chicken Soup for the Soul: 101 More Stories to Open the Heart and Rekindle the Spirit,Jack Canfield,http://images.amazon.com/images/P/1558744592.01.MZZZZZZZ.jpg,"NEW YORK TIMES BESTSELLER! The fourth installment in the Chicken Soup for the Soul series promises to be even more popular than its predecessors. The perfect gift for friends, family and business associates is now available in A 4th Course."
235,"Irish Rebel (Special Edition, 1328)",Nora Roberts,http://images.amazon.com/images/P/0373243286.01.MZZZZZZZ.jpg,"Roberts' Irish series continues with this brand-new story in ""Silhouette Special Edition(""! Upon arriving at Royal Meadows Farms from Ireland, rugged horse trainer Brian Donnelly is stunned by the beauty of his boss's daughter, Keeley Grant. Now it's up to this innocent beauty to tame this handsome Irish rogue. Satellite media tour."
236,East of the Mountains (Vintage Contemporaries (Paperback)),David Guterson,http://images.amazon.com/images/P/0156011042.01.MZZZZZZZ.jpg,"A retired heart surgeon, recently widowed, does not wish to confront his terminal colon cancer. He decides to go on a last hunt in his home state of Washington."
237,The Cat Who Played Post Office (Cat Who... (Paperback)),Lilian Jackson Braun,http://images.amazon.com/images/P/0515093203.01.MZZZZZZZ.jpg,"In this mystery in the bestselling Cat Who series, Jim Qwilleran and his cats, Koko and Yum Yum, are living the high life—until things take a deadly turn... Inheriting unexpected millions has left reporter Jim Qwilleran looking like the cat who swallowed the canary. While his two Siamese cats, Koko and Yum Yum, adjust to being fat cats in an enormous mansion, Qwill samples the lifestyles of the rich and famous by hiring a staff of eccentric servants. A missing housemaid and a shocking murder soon show Qwilleran the unsavory side of the upper crust. But it’s Koko’s purr-fect propensity for finding clues amid the caviar and champagne that gives Qwill pause to evaluate the most unlikely suspects—before his taste for the good life turns into his last meal..."
238,Day of Confession,Allan Folsom,http://images.amazon.com/images/P/0316287555.01.MZZZZZZZ.jpg,"A heart-thumping whirlwind of action, suspense & murder that reaches deep into the highest levels of Vatican power & uncovers a demonic scheme to massacre hundreds of thousands of Chinese in an attempt to establish a new Holy Roman Empire on the Chinese mainland in the twenty-first century."
239,The Magus,John Fowles,http://images.amazon.com/images/P/0099743914.01.MZZZZZZZ.jpg,"On a remote Greek island, Nicholas Urfe finds himself embroiled in the deceptionsof a master trickster. Shimmering surreal threads weave ever tighter as reality and illusion intertwine in a bizarre psychological game. John Fowles expertly unfolds a tale that is lush with over-powering imagery in a spellbinding exploration of the complexities of the human mind. By turns disturbing, thrilling and seductive, THE MAGUS is a cerebral feast."
240,The Cat Who Played Brahms,Lilian Jackson Braun,http://images.amazon.com/images/P/0515090506.01.MZZZZZZZ.jpg,"A murder leaves Jim Qwilleran and his cats, Koko and Yum Yum, feeling out of tune in this New York Times bestselling mystery in the Cat Who series. Is it just a case of summertime blues or a full-blown career crisis? Newspaper reporter Jim Qwilleran isn’t sure, but he’s hoping a few days in the country will help him sort out his life. With cats Koko and Yum Yum for company, he heads for a cabin owned by a longtime family friend named Aunt Fanny. But from the moment he arrives, things turn strange. Eerie footsteps cross the roof at midnight. The townsfolk become oddly secretive. And then, while fishing, Qwilleran hooks on to a murder mystery. Soon Qwilleran enters into a game of cat and mouse with the killer, while Koko develops a sudden and uncanny fondness for classical music..."
241,The Christmas Box Collection : The Christmas Box Timepiece The Letter,Richard Paul Evans,http://images.amazon.com/images/P/0671027646.01.MZZZZZZZ.jpg,"Richard Paul Evans' #1 New York Times bestseller The Christmas Box has become a holiday classic, a tale so touching that it continues to ""tug families' heartstrings"" (USA Today). His exquisite prequel, Timepiece, and The Letter completed the glorious trilogy of the Parkin family. Now all three magical stories are compiled in one extraordinary treasury that -reaches into that place where all broken hearts will forever be made whole"" (The Star, Chicago). The Christmas Box A Christmas story unlike any other, The Christmas Box is the poignant tale of a widow and the young family who moves in with her. Together, they discover the first gift of Christmas -- and what the holiday is really all about. Timepiece Tracing the lives of a young couple as they discover love, loyalty, and the power of forgiveness, Timepiece is a tale of wisdom and of hope -- and a gentle reminder that the connections from one generation to the next are indelible. The Letter A mysterious letter is found at the grave of a couple's only child in this unforgettable conclusion to the collection. As they face love's greatest challenge, they find its truest meaning and learn the lessons that are echoed throughout."
242,Joy School (Ballantine Reader's Circle),ELIZABETH BERG,http://images.amazon.com/images/P/0345423097.01.MZZZZZZZ.jpg,"In this exquisite new novel by bestselling writer Elizabeth Berg, a young woman falls in love -- and learns how sorrow can lead to an understanding of joy. Katie, the narrator, has relocated to Missouri with her distant, occasionally abusive father, and she feels very much alone: her much-loved mother is dead; her new school is unaccepting of her; and her only friends fall far short of being ideal companions. When she accidentally falls through the ice while skating, she meets Jimmy. He is handsome, far older than she, and married, but she is entranced. As their relationship unfolds, so too does Katie's awareness of the pain and intensity first love can bring. Beautifully written in Berg's irresistible voice, Joy School portrays the soaring happiness of real love, the deep despair one can feel when it goes unrequited, and the stubbornness of hope that will not let us let go. Here also is recognition that love can come in many forms and offer many different things. Joy School illuminates, too, how the things that hurt the most can sometimes teach us the lessons that really matter. About Durable Goods, Elizabeth Berg's first novel, Andre Dubus said, ""Elizabeth Berg writes with humor and a big heart about resilience, loneliness, love and hope. And the transcendence that redeems."" The same will be said of Joy School, Elizabeth Berg's most luminous novel to date."
243,Thursday'S At Eight,Debbie Macomber,http://images.amazon.com/images/P/1551668912.01.MZZZZZZZ.jpg,"Every Thursday at eight, four women meet for breakfast ... to talk. To tell their stories, recount their sorrows and their joys. To offer each other encouragement and unstinting support."
244,The Dark Room,Rachel Seiffert,http://images.amazon.com/images/P/0375726322.01.MZZZZZZZ.jpg,"Rachel Seiffert’s absorbing, internationally acclaimed debut explores the modern German psyche through the experiences of three ordinary people. At the onset of World War II, a young photographer’s assistant is kept out of the war due to a physical disability, and instead spends his time capturing on film the changing temper of Berlin, the city he loves. Just weeks after Germany’s surrender, a teenage girl whose parents have been taken into allied custody leads her siblings on a harrowing journey to find their grandmother. And two generations after the war, a teacher searches for the reason why the Russians imprisoned his beloved grandfather. Evoking the experiences of the individual with astonishing emotional depth and psychological acuity, The Dark Room develops a portrait of the twentieth century in all its drama and complexity."
245,Coastliners : A Novel,Joanne Harris,http://images.amazon.com/images/P/0060198125.01.MZZZZZZZ.jpg,"Joanne Harris writes fiction that engages every one of the senses: reviewers called Chocolat ""delectable"" and Five Quarters of the Orange ""sweet and powerful."" In her new novel, she takes readers to a tiny French island where you can almost taste the salt on your lips. The island, called Le Devin, is shaped somewhat like a sleeping woman. At her head is the village of Les Salants, while the more prosperous village of La Houssinière lies at her feet. You could walk between the towns in an hour, but they could not feel further apart, for between them lie years of animosity. The townspeople of Les Salants say that if you kiss the feet of their patron saint and spit three times, something you've lost will come back to you. And so Madeleine, who grew up on the island, returns after an absence of ten years spent in Paris. She is haunted by this place, and has never been able to feel at home anywhere else. But when she arrives, she will find that her father -- who once built fishing boats that fueled the town's livelihood -- has become even more silent than ever, withdrawing almost completely into an interior world. And his decline seems reflected in the town itself, for when the only beach in Les Salants washed away, all tourism drifted back to La Houssinière. Madeleine herself has been adrift for a long time, yet almost against her will she soon finds herself united with the village's other lost souls is a struggle for survival and salvation."
246,Shadow Prey,John Sandford,http://images.amazon.com/images/P/039913543X.01.MZZZZZZZ.jpg,"Lieutenant Lucas Davenport and his lover, policewoman Lucy Rothenburg, investigate a series of grisly murders whose trail leads to a Native American embodiment of primal evil known as Shadow Love"
247,A Small Death in Lisbon,Robert Wilson,http://images.amazon.com/images/P/0425184234.01.MZZZZZZZ.jpg,A sex slaying in modern-day Lisbon. A secret in 1941 Berlin. The shocking connection makes this the most talked-about thriller in years.
248,The Big Sleep,Raymond Chandler,http://images.amazon.com/images/P/0394758285.01.MZZZZZZZ.jpg,"Philip Marlowe, a private eye who operates in Los Angeles's seamy underside during the 1930s, takes on his first case, which involves a paralyzed California millionaire, two psychotic daughters, blackmail, and murder."
249,White Dragon,Anne Mccaffrey,http://images.amazon.com/images/P/0345253736.01.MZZZZZZZ.jpg,"Never had there been as close a bonding as the one that existed between the daring and adventurous young Lord Jaxom and his extraordinary white dragon, Ruth. Pure white and incredibly agile, Ruth was a dragon of many talents, though almost everyone on Pern thought he was a runt that would never amount to anything. But Jaxom knew better, knew he could teach his dragon to fly and to destroy the deadly silver Threads that fell from the sky. Disobeying all rules, Jaxom and Ruth trained in secret. Their illicit flights seemed but a minor disobedience - until they found themselves in the path of danger and in a position to prevent the biggest disaster of all."
250,Divine Evil,NORA ROBERTS,http://images.amazon.com/images/P/0553294903.01.MZZZZZZZ.jpg,"Bestselling author Nora Roberts dazzles once again with a powerful tale of passion, murder, and small-town scandal. In this classic novel, a woman returns to the home she left behind, to a past that is waiting to kill her.... A decade ago, sculptor Clare Kimball fled Emmitsboro, Maryland, to take the art world by storm. Now she’s celebrated as the artist of her generation. But no amount of success can eclipse the nightmares that haunt her—or the memories of her father’s suicide. Just as her star is shining brighter than ever, Clare leaves it all behind to face her demons. Emmitsboro sheriff Cameron Rafferty loved Clare from afar all through high school. Now that she’s back, they form a bond that grows stronger each day—fueled by an attraction that’s been simmering for years. But Clare’s past soon rises up with a vengeance, rocking the town with a sinister murder that is clearly linked to her return. As an investigation gets under way, Clare and Cameron will learn that evil can linger anywhere—even in those you love and trust the most. But it’s a discovery that may come too late to save them.…"
251,The Kingdom by the Sea: A Journey Around the Coast of Great Britain,Paul Theroux,http://images.amazon.com/images/P/0140071814.01.MZZZZZZZ.jpg,"Paul Theroux's round-Britain travelogue is funny, perceptive and, said the Sunday Times, 'best avoided by patriots with high blood pressure . . . 'After eleven years living as an American in London, Paul Theroux set out to travel clockwise round the coast and find out what Britain and the British are really like. It was 1982, the summer of the Falklands War and the royal baby, and the ideal time, he found, to surprise the British into talking about themselves. The result is absolutely riveting reading. 'Few of us have seen the entirety of the coast and I for one am grateful to Mr Theroux for making my journey unnecessary. He describes it all brilliantly and honestly' - Anthony Burgess in the Observer. 'Filled with history, insights, landscape, epiphanies, meditations, celebrations and laments' - The New York Times."
252,City of Light,Lauren Belfer,http://images.amazon.com/images/P/044023512X.01.MZZZZZZZ.jpg,The exploitation of Niagara Falls to generate electricity leads to a murder involving members of Buffalo's ruling class. The heroine is a high-society school teacher who investigates and through her eyes is seen the conflict between industrialists and environmentalists of the day. A first novel.
253,Zodiac: The Eco-Thriller,Neal Stephenson,http://images.amazon.com/images/P/0871131811.01.MZZZZZZZ.jpg,"Sangamon Taylor, an environmental extremist, sets out to discover the source of dangerously high levels of radiation in the Boston Harbor, teams up with some unlikely types, and battles corruption all the way to the level of a would-be president"
254,Job: A Comedy of Justice,Robert A. Heinlein,http://images.amazon.com/images/P/0345316509.01.MZZZZZZZ.jpg,"On vacation in Polynesia, Alex Hergensheimer experiences a series of world-changes, all of which point to Armageddon and reveal him to be a pawn in the ancient feud between God and Lucifer."
255,Inca Gold (Clive Cussler),Clive Cussler,http://images.amazon.com/images/P/0671519816.01.MZZZZZZZ.jpg,"When Dirk Pitt saves a group of archaeologists from drowning, he finds himself caught up in a smuggling ring searching for lost Inca treasure."
256,A Year by the Sea: Thoughts of an Unfinished Woman,Joan Anderson,http://images.amazon.com/images/P/0767905938.01.MZZZZZZZ.jpg,"The basis for the major motion picture of the same name. An entrancing memoir of how one woman's journey of self-discovery gave her the courage to persevere in re-creating her life. Life is a work in progress, as ever-changing as a sandy shoreline along the beach. During the years Joan Anderson was a loving wife and supportive mother, she had slowly and unconsciously replaced her own dreams with the needs of her family. With her sons grown, however, she realized that the family no longer centered on the home she provided, and her relationship with her husband had become stagnant. Like many women in her situation, Joan realized that she had neglected to nurture herself and, worse, to envision fulfilling goals for her future. As her husband received a wonderful job opportunity out-of-state, it seemed that the best part of her own life was finished. Shocking both of them, she refused to follow him to his new job and decided to retreat to a family cottage on Cape Cod. At first casting about for direction, Joan soon began to take pleasure in her surroundings and call on resources she didn't realize she had. Over the course of a year, she gradually discovered that her life as an ""unfinished woman"" was full of possibilities. Out of that magical, difficult, transformative year came A Year by the Sea, a record of her experiences and a treasury of wisdom for readers."
257,Chicken Soup for the Soul at Work (Chicken Soup for the Soul Series (Paper)),Jack Canfield,http://images.amazon.com/images/P/155874424X.01.MZZZZZZZ.jpg,"101 stories of courage, compassion, and creativity in the workplace."
258,TickTock,Dean R. Koontz,http://images.amazon.com/images/P/034538430X.01.MZZZZZZZ.jpg,"Detective novelist Tommy Phan comes home to find a strange doll on his doorstep. That night, something terrifying breaks out of the doll and begins to follow Tommy wherever he goes."
259,Orchid Beach (Holly Barker Novels (Paperback)),Stuart Woods,http://images.amazon.com/images/P/0061013412.01.MZZZZZZZ.jpg,"A Woman's Best Friend--and Most Lethal Weapon New York Times bestselling author Stuart Woods delivers a riveting thriller that introduces an exciting addition to the pantheon of fictional sleuths. Forced into early retirement at thirty-seven, smart, attractive, and fiercely independent Major Holly Barker trades in her bars as a military cop for the badge of deputy chief of police in Orchid Beach, Florida. But below the sunny surface of this sleepy, well-to-do island town lies an evil that escalates into the cold-blooded murder of one of Holly's new colleagues. An outsider, Holly has little to go on for answers and no one to help her--except Daisy, a Doberman of exceptional intelligence and loyalty that becomes her companion and protector. The closer she gets to the truth, the more Holly knows that it'll take one smart dog with guts to sniff out this killer--before he can catch her first."
260,The Quilter's Apprentice,Jennifer Chiaverini,http://images.amazon.com/images/P/0452281725.01.MZZZZZZZ.jpg,Number 1 in series.
261,Prozac Nation: Young and Depressed in America : A Memoir,Elizabeth Wurtzel,http://images.amazon.com/images/P/1573225126.01.MZZZZZZZ.jpg,"""A book that became a cultural touchstone."" -- The New Yorker Elizabeth Wurtzel writes with her finger in the faint pulse of an overdiagnosed generation whose ruling icons are Kurt Cobain, Xanax, and pierced tongues. In this famous memoir of her bouts with depression and skirmishes with drugs, Prozac Nation is a witty and sharp account of the psychopharmacology of an era for readers of Girl, Interrupted and Sylvia Plath's The Bell Jar."
262,Bellwether,Connie Willis,http://images.amazon.com/images/P/0553562967.01.MZZZZZZZ.jpg,Science fiction roman.
263,The Ultimate Hitchhiker's Guide,Douglas Adams,http://images.amazon.com/images/P/0517149257.01.MZZZZZZZ.jpg,6 Science fiction-romaner.
264,Field of Thirteen,Dick Francis,http://images.amazon.com/images/P/0515126098.01.MZZZZZZZ.jpg,"Collection of thirteen mystery stories about horse racing, with settings ranging from a spring race meeting at Cheltenham, England, to the Kentucky Derby at Churchill Downs."
265,Farmer Boy (Little House),Laura Ingalls Wilder,http://images.amazon.com/images/P/0064400034.01.MZZZZZZZ.jpg,"While Laura Ingalls grows up in a little house on the western prairie, Almanzo Wilder is living on a big farm in New York State. Here Almanzo and his brother and sisters help with the summer planting and fall harvest. In winter there is wood to be chopped and great slabs of ice to be cut from the river and stored. Time for fun comes when the jolly tin peddler visits, or best of all, when the fair comes to town. This is Laura Ingalls Wilder's beloved story of how her husband Almanzo grew up as a farmer boy far from the little house where Laura lived."
266,The PMS Outlaws : An Elizabeth MacPherson Novel,Sharyn McCrumb,http://images.amazon.com/images/P/0345382323.01.MZZZZZZZ.jpg,"Bestselling author Sharyn McCrumb, internationally acclaimed for the ""quiet fire""* of her Appalachian Ballad novels, clearly has a dark side--a wicked, sardonic wit that has prompted critics to compare her to Jane Austen and Jonathan Swift. Readers and reviewers alike also have lauded Ms. McCrumb for her inspired chronicles of forensic anthropologist Elizabeth MacPherson. In her newest tale in the MacPherson saga, McCrumb examines society's fascination with beauty--and the deceptiveness of outer appearances. Elizabeth herself, hospitalized for depression over her missing husband, learns that insanity liberates one from polite hypocrisy, enabling a ""crazy lady"" to remark: ""Anorexia is not a disease; it's a career move."" Out in the real world, Elizabeth's brother Bill has bought a stately old mansion to use as his law office, only to find that the house comes with a charming codger-in-residence who is far too old to be a dangerous outlaw. . . isn't he? Meanwhile, the steel magnolia who is Bill's law partner is trying to track down the PMS Outlaws--an escaped convict and her fugitive attorney--who are cruising pickup joints and wreaking a peculiar vengeance on lust-crazed men. Sharyn McCrumb's incisive wit and her genius for mirroring everyday life are once again on full display. The PMS Outlaws is an outrageous parable of modern mores, where beauty is the weapon, and nobody is safe. *The New York Times Book Review"
